index,Date,Adj Close
825,2003-08-15,3.700000047683716
826,2003-08-18,3.75
827,2003-08-19,3.700000047683716
828,2003-08-20,3.7200000286102295
829,2003-08-21,4.150000095367432
830,2003-08-22,4.190000057220459
831,2003-08-25,4.340000152587891
832,2003-08-26,4.260000228881836
833,2003-08-27,4.480000019073486
834,2003-08-28,4.75
835,2003-08-29,4.789999961853027
836,2003-09-02,4.71999979019165
837,2003-09-03,4.369999885559082
838,2003-09-04,4.699999809265137
839,2003-09-05,5.28000020980835
840,2003-09-08,5.460000038146973
841,2003-09-09,5.170000076293945
842,2003-09-10,4.849999904632568
843,2003-09-11,5.260000228881836
844,2003-09-12,5.300000190734863
845,2003-09-15,5.190000057220459
846,2003-09-16,5.179999828338623
847,2003-09-17,4.610000133514404
848,2003-09-18,4.46999979019165
849,2003-09-19,4.710000038146973
850,2003-09-22,4.550000190734863
851,2003-09-23,4.559999942779541
852,2003-09-24,4.21999979019165
853,2003-09-25,3.930000066757202
854,2003-09-26,3.809999942779541
855,2003-09-29,3.9700000286102295
856,2003-09-30,4.0
857,2003-10-01,4.28000020980835
858,2003-10-02,4.190000057220459
859,2003-10-03,4.369999885559082
860,2003-10-06,4.260000228881836
861,2003-10-07,4.25
862,2003-10-08,4.300000190734863
863,2003-10-09,4.46999979019165
864,2003-10-10,4.5
865,2003-10-13,4.599999904632568
866,2003-10-14,4.489999771118164
867,2003-10-15,4.590000152587891
868,2003-10-16,4.599999904632568
869,2003-10-17,4.53000020980835
870,2003-10-20,4.599999904632568
871,2003-10-21,4.550000190734863
872,2003-10-22,4.489999771118164
873,2003-10-23,4.300000190734863
874,2003-10-24,4.190000057220459
875,2003-10-27,4.400000095367432
876,2003-10-28,4.75
877,2003-10-29,4.960000038146973
878,2003-10-30,4.440000057220459
879,2003-10-31,4.300000190734863
880,2003-11-03,4.380000114440918
881,2003-11-04,4.300000190734863
882,2003-11-05,4.409999847412109
883,2003-11-06,4.429999828338623
884,2003-11-07,4.590000152587891
885,2003-11-10,4.610000133514404
886,2003-11-11,4.510000228881836
887,2003-11-12,4.710000038146973
888,2003-11-13,4.829999923706055
889,2003-11-14,5.110000133514404
890,2003-11-17,4.929999828338623
891,2003-11-18,5.230000019073486
892,2003-11-19,4.96999979019165
893,2003-11-20,5.130000114440918
894,2003-11-21,5.199999809265137
895,2003-11-24,5.489999771118164
896,2003-11-25,6.070000171661377
897,2003-11-26,6.559999942779541
898,2003-11-28,6.570000171661377
899,2003-12-01,6.75
900,2003-12-02,7.050000190734863
